Paper,Authors,Year,Subject,MALE,Mean Year,Stimuli Modality,Linguisticity,Task,Kinds of response,Inference,Contrasts Included,Simplified Contrasts,Location (BA),Software,Original Space,Reported Coordinates,x,y,z,mni_x,mni_y,mni_z,z score,Correction,Effect,Gaps,Scanning Method,Tesla,Design,Title,Journal
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - deduction,Inductive-Deductive,L superior frontal gyrus (9),SPM(96),Talairach,Talairach,-12,54,24,-12,61,16,3.28,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,L dorsal frontal gyrus (BA 6),SPM95,standard (Talairach),Talairach,-16,2,52,-16,9,53,4.29,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,L cuneus(BA 18),SPM95,standard (Talairach),Talairach,-10,-86,24,-9,-88,31,3.57,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,L thalamus,SPM95,standard (Talairach),Talairach,-10,-16,12,-10,-14,10,3.37,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,R caudate,SPM95,standard (Talairach),Talairach,16,2,20,19,6,17,3.91,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,R thalamus,SPM95,standard (Talairach),Talairach,10,-26,4,12,-26,2,3.5,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,R cerebellum,SPM95,standard (Talairach),Talairach,4,-80,-32,5,-87,-32,4.54,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,L cerebellum,SPM95,standard (Talairach),Talairach,4,-74,-36,5,-81,-37,3.52,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs meaning,Deductive-Baseline,Vermis,SPM95,standard (Talairach),Talairach,-2,-64,-16,-1,-68,-16,3.71,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,L dorsal frontal gyrus (BA 6),SPM95,standard (Talairach),Talairach,-14,-2,48,-13,4,49,3.71,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,L ant. cingulate gyrus (BA 24/32),SPM95,standard (Talairach),Talairach,-2,14,32,-1,20,29,3.41,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,L thalamus,SPM95,standard (Talairach),Talairach,-16,-16,20,-16,-14,19,4.02,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,R mid frontal gyrus (BA 10),SPM95,standard (Talairach),Talairach,26,40,16,29,46,8,3.64,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,R caudate nucleus,SPM95,standard (Talairach),Talairach,8,14,8,10,17,3,3.15,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,R cerebellum,SPM95,standard (Talairach),Talairach,6,-84,-28,7,-91,-27,4.65,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,L cerebellum,SPM95,standard (Talairach),Talairach,-6,-64,-36,-6,-70,-38,3.39,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs meaning,Inductive-Baseline,Vermis,SPM95,standard (Talairach),Talairach,0,-68,-16,1,-73,-15,3.41,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs logic,Inductive-Deductive,R insula,SPM95,standard (Talairach),Talairach,26,28,16,29,33,10,3.34,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs logic,Inductive-Deductive,L mid frontal gyrus (BA 10),SPM95,standard (Talairach),Talairach,-40,48,16,-42,54,9,3.88,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),inductive,probability vs logic,Inductive-Deductive,L sup. frontal gyrus (BA 8),SPM95,standard (Talairach),Talairach,-12,24,44,-11,32,42,3.33,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R cingulate gyrus (BA 24/32),SPM95,standard (Talairach),Talairach,8,38,0,10,42,-9,4.18,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R sup. parietal lobule (BA 7),SPM95,standard (Talairach),Talairach,30,-76,40,34,-75,47,4.06,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R precuneus (BA 7),SPM95,standard (Talairach),Talairach,8,-76,48,11,-74,56,3.45,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R mid occipital gyrus (BA 19),SPM95,standard (Talairach),Talairach,46,-76,-4,51,-80,-2,3.38,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R thalamus,SPM95,standard (Talairach),Talairach,14,-28,12,16,-27,11,3.36,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,R sup. occipital gyrus (BA 19),SPM95,standard (Talairach),Talairach,22,-80,24,25,-81,30,3.31,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,L cuneus (BA 18),SPM95,standard (Talairach),Talairach,-2,-94,24,0,-96,32,3.72,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),deductive,logic vs probability,Deductive-Inductive,L precuneus (BA 7),SPM95,standard (Talairach),Talairach,-10,-80,44,-9,-79,53,3.53,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,"Lt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,-16,8,-4,-16,8,-4,7,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,"Rt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,14,10,-4,14,10,-4,6.48,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Brain stem,SPM97d,MNI,MNI,0,-22,-4,0,-22,-4,4.94,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Rt. cerebellum,SPM97d,MNI,MNI,10,-76,-34,10,-76,-34,6.63,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. cerebellum,SPM97d,MNI,MNI,-6,-74,-30,-6,-74,-30,6.02,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,"Rt. fusiform gyrus (18, 19)",SPM97d,MNI,MNI,42,-74,-16,42,-74,-16,5.62,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. fusiform gyrus (18),SPM97d,MNI,MNI,-20,-92,-12,-20,-92,-12,6.16,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. inferior frontal lobe (44),SPM97d,MNI,MNI,-52,16,18,-52,16,18,6.57,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. inferior frontal lobe (44),SPM97d,MNI,MNI,-42,10,28,-42,10,28,6.09,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. inferior frontal lobe (45),SPM97d,MNI,MNI,-46,24,20,-46,24,20,6.67,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. middle temporal lobe (21/22),SPM97d,MNI,MNI,-52,-42,0,-52,-42,0,6.35,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Lt. superior parietal lobe (7),SPM97d,MNI,MNI,-18,-64,46,-18,-64,46,4.62,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Main effect of reasoning,Deductive-Baseline,Rt. inferior frontal lobe (45),SPM97d,MNI,MNI,52,20,22,52,20,22,4.45,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,"Rt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,14,12,-4,14,12,-4,5.21,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,"Lt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,-16,10,-4,-16,10,-4,6.1,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,Rt. cerebellum,SPM97d,MNI,MNI,20,-84,-30,20,-84,-30,5.38,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,Rt. cerebellum,SPM97d,MNI,MNI,32,-62,-32,32,-62,-32,4.7,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,Rt. cerebellum,SPM97d,MNI,MNI,40,-72,-32,40,-72,-32,4.67,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,Lt. inferior frontal lobe (44),SPM97d,MNI,MNI,-52,14,20,-52,14,20,4.71,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,Content - preparation,Deductive-Baseline,Lt. middle temporal lobe (21/22),SPM97d,MNI,MNI,-50,-42,2,-50,-42,2,6.2,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,Rt. cerebellum,SPM97d,MNI,MNI,10,-74,-34,10,-74,-34,5.55,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,Lt. cerebellum,SPM97d,MNI,MNI,-8,-72,-28,-8,-72,-28,4.92,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,Rt. fusiform gyrus (18),SPM97d,MNI,MNI,42,-76,-14,42,-76,-14,4.97,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,"Lt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,-16,4,-6,-16,4,-6,4.62,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,"Rt. basal ganglia (accumbens, caudate nucleus, and putamen)",SPM97d,MNI,MNI,14,10,-4,14,10,-4,4.31,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,Brain stem,SPM97d,MNI,MNI,-4,-22,-4,-4,-22,-4,5.17,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),deductive; syllogisms,No-content - preparation,Deductive-Baseline,Lt. fusiform gyrus (18),SPM97d,MNI,MNI,-20,-94,-10,-20,-94,-10,5.2,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage
